Library,Total,Success,Failure,Model
JDK,1030,84,946,COSTER
Gson,204,102,102,COSTER
Joda-Time,116,23,93,COSTER
Hibernate,84,13,71,COSTER
Guava,63,12,51,COSTER
Apache-Commons,18,9,9,COSTER
JUnit,8,4,4,COSTER
Spring,28,7,21,COSTER
GWT,19,12,7,COSTER
JFree,8,0,8,COSTER
XStream,36,32,4,COSTER
JSoup,29,8,21,COSTER
Apache-Http,22,3,19,COSTER
Org-JSON,21,0,21,COSTER
Apache-POI,21,7,14,COSTER
JCraft,19,8,11,COSTER
W3C,11,2,9,COSTER
SnakeYAML,3,3,0,COSTER
Jackson,1,0,1,COSTER

JDK,1030,669,361,RESICO-KNN
Gson,204,189,15,RESICO-KNN
Joda-Time,116,65,51,RESICO-KNN
Hibernate,84,55,29,RESICO-KNN
Guava,63,26,37,RESICO-KNN
Apache-Commons,18,11,7,RESICO-KNN
JUnit,8,8,0,RESICO-KNN
Spring,28,19,9,RESICO-KNN
GWT,19,11,8,RESICO-KNN
JFree,8,6,2,RESICO-KNN
XStream,36,34,2,RESICO-KNN
JSoup,29,25,4,RESICO-KNN
Apache-Http,22,21,1,RESICO-KNN
Org-JSON,21,3,18,RESICO-KNN
Apache-POI,21,17,4,RESICO-KNN
JCraft,19,16,3,RESICO-KNN
W3C,11,10,1,RESICO-KNN
SnakeYAML,3,3,0,RESICO-KNN
Jackson,1,0,1,RESICO-KNN
