pattern,fqns
java,781
javax,704
org.apache,486
org.eclipse,217
org.springframework,92
com.google,211
org.bukkit,160
javafx,160
com.sun,81
com.badlogic,71
org.joda,68
org.powerbot,51
com.jme3,50
org.jfree,43
org.newdawn,42
com.reuters,39
net.sf,37
org.lwjgl,34
org.jdesktop,31
com.amazonaws,31
org.antlr,29
org.openqa,28
com.hp,26
org.jboss,22
org.encog,21
org.hibernate,21
org.fest,20
org.getspout,19
com.itextpdf,19
com.mongodb,18
org.codehaus,17
net.minecraft,17
org.vertx,15
org.w3c,15
org.jbox2d,14
com.vaadin,14
com.sleepycat,13
com.googlecode,13
com.alee,13
org.omg,12
org.xml,12
org.gephi,12
net.sourceforge,12
org.objectweb,12
org.drools,12
org.primefaces,11
org.htmlparser,11
com.sk89q,11
com.esotericsoftware,11
com.fasterxml,11
org.json,11
org.bouncycastle,11
org.elasticsearch,10
org.jdom2,10
org.dom4j,10
org.junit,10
net.md_5,10
net.rim,10
com.trolltech,10
org.mockito,10
com.datastax,9
org.semanticweb,9
org.jdom,9
org.assertj,9
com.jgoodies,9
com.gargoylesoftware,9
com.jcraft,9
org.restlet,9
org.openrdf,9
com.thoughtworks,8
com.lowagie,8
org.openscience,8
org.jsoup,8
org.jgrapht,8
org.mozilla,8
com.hazelcast,8
org.activiti,8
org.jruby,8
org.glassfish,8
com.jogamp,8
org.neo4j,7
org.jsfml,7
org.testng,7
org.quartz,7
com.dukascopy,7
com.sforce,7
org.hamcrest,7
org.edisoncor,7
com.rabbitmq,7
org.tmatesoft,7
org.smpp,7
com.mysql,7
com.vividsolutions,7
org.osgi,7
com.avaje,6
com.espertech,6
com.github,6
org.joone,6
com.golden,6
choco.kernel,6
com.mxgraph,6
org.pircbotx,5
net.java,5
com.j256,5
javacard.framework,5
com.gorillalogic,5
org.jivesoftware,5
org.opensourcephysics,5
com.android,5
com.vmware,5
org.zkoss,5
org.mortbay,5
com.toedter,5
org.jaudiotagger,5
com.smartfoxserver,5
org.opencv,5
junit.framework,5
org.scribe,5
com.alibaba,5
com.restfb,5
org.snmp4j,4
com.panayotis,4
org.swtchart,4
com.leapmotion,4
com.ibm,4
org.jgap,4
org.cytoscape,4
org.ccnx,4
org.easymock,4
org.la4j,4
net.htmlparser,4
org.aspectj,4
com.codename1,4
org.python,4
org.parboiled,4
org.jmock,4
com.uqbar,4
net.milkbowl,4
org.bridj,4
org.sikuli,4
com.jayway,4
net.phys2d,4
com.threed,4
com.comphenix,4
com.phidgets,3
com.alex,3
org.mrumrocks,3
com.microsoft,3
org.netlib,3
net.miginfocom,3
com.herocraftonline,3
com.iconmaster,3
org.iesapp,3
org.mt4j,3
net.schmizz,3
org.ini4j,3
net.enigmablade,3
