number,value,datetime_start,datetime_complete,duration,params_knn_algorithm,params_knn_leaf,params_knn_neighbours,params_knn_weights,state
0,0.4446913580246914,2022-09-17 13:24:47.228380,2022-09-17 13:38:05.695743,0 days 00:13:18.467363,ball_tree,2,146,uniform,COMPLETE
1,0.1953251028806583,2022-09-17 13:24:47.230292,2022-09-17 13:29:19.411110,0 days 00:04:32.180818,brute,11,12,uniform,COMPLETE
2,0.18220576131687238,2022-09-17 13:24:47.232089,2022-09-17 13:29:16.496939,0 days 00:04:29.264850,brute,53,9,uniform,COMPLETE
3,0.6843786008230452,2022-09-17 13:24:47.237172,2022-09-17 13:29:26.418350,0 days 00:04:39.181178,brute,9,711,uniform,COMPLETE
4,0.15061728395061724,2022-09-17 13:24:47.240343,2022-09-17 13:36:11.314728,0 days 00:11:24.074385,kd_tree,569,25,distance,COMPLETE
5,0.218798353909465,2022-09-17 13:24:47.243604,2022-09-17 13:31:33.355717,0 days 00:06:46.112113,kd_tree,193,18,uniform,COMPLETE
6,0.24958024691358027,2022-09-17 13:24:47.247520,2022-09-17 13:54:38.519741,0 days 00:29:51.272221,ball_tree,43,933,distance,COMPLETE
7,0.13919341563786003,2022-09-17 13:24:47.250862,2022-09-17 13:43:47.394770,0 days 00:19:00.143908,ball_tree,321,16,distance,COMPLETE
8,0.13761316872427976,2022-09-17 13:29:16.572759,2022-09-17 13:36:27.135826,0 days 00:07:10.563067,ball_tree,3,2,uniform,COMPLETE
9,0.30395061728395056,2022-09-17 13:29:19.484768,2022-09-17 13:32:46.044853,0 days 00:03:26.560085,brute,4,48,uniform,COMPLETE
10,0.28780246913580243,2022-09-17 13:29:26.492612,2022-09-17 13:43:11.294299,0 days 00:13:44.801687,ball_tree,17,41,uniform,COMPLETE
11,0.15371193415637863,2022-09-17 13:31:33.464396,2022-09-17 13:43:52.567505,0 days 00:12:19.103109,ball_tree,124,4,uniform,COMPLETE
12,0.16474074074074074,2022-09-17 13:32:46.183507,2022-09-17 13:44:48.078823,0 days 00:12:01.895316,kd_tree,12,41,distance,COMPLETE
13,0.7165432098765432,2022-09-17 13:36:11.391939,2022-09-17 13:48:54.712792,0 days 00:12:43.320853,kd_tree,225,880,uniform,COMPLETE
14,0.6677530864197531,2022-09-17 13:36:27.197549,2022-09-17 13:40:23.266210,0 days 00:03:56.068661,brute,281,640,uniform,COMPLETE
15,0.11305349794238684,2022-09-17 13:38:05.799380,2022-09-17 13:41:37.275585,0 days 00:03:31.476205,kd_tree,93,4,distance,COMPLETE
16,0.13762962962962966,2022-09-17 13:40:23.344093,2022-09-17 13:43:20.039768,0 days 00:02:56.695675,brute,935,2,uniform,COMPLETE
17,0.10592592592592598,2022-09-17 13:41:37.407137,2022-09-17 13:44:08.577575,0 days 00:02:31.170438,kd_tree,63,2,distance,COMPLETE
18,0.10592592592592598,2022-09-17 13:43:11.372703,2022-09-17 13:44:57.699306,0 days 00:01:46.326603,kd_tree,62,2,distance,COMPLETE
19,0.10592592592592598,2022-09-17 13:43:20.158930,2022-09-17 13:55:49.489249,0 days 00:12:29.330319,ball_tree,57,2,distance,COMPLETE
20,0.10592592592592598,2022-09-17 13:43:47.473460,2022-09-17 13:45:32.318788,0 days 00:01:44.845328,kd_tree,92,2,distance,COMPLETE
21,0.10592592592592598,2022-09-17 13:43:52.704521,2022-09-17 13:46:23.469773,0 days 00:02:30.765252,kd_tree,47,2,distance,COMPLETE
22,0.11688888888888893,2022-09-17 13:44:08.702573,2022-09-17 13:46:51.267048,0 days 00:02:42.564475,kd_tree,60,5,distance,COMPLETE
23,0.12263374485596712,2022-09-17 13:44:48.219747,2022-09-17 13:49:47.996975,0 days 00:04:59.777228,kd_tree,56,7,distance,COMPLETE
24,0.11688888888888893,2022-09-17 13:44:57.779478,2022-09-17 13:47:34.592137,0 days 00:02:36.812659,kd_tree,40,5,distance,COMPLETE
25,0.11303703703703705,2022-09-17 13:45:32.399553,2022-09-17 13:47:52.738642,0 days 00:02:20.339089,kd_tree,21,4,distance,COMPLETE
26,0.11909465020576127,2022-09-17 13:46:23.605494,2022-09-17 13:50:26.768780,0 days 00:04:03.163286,kd_tree,23,6,distance,COMPLETE
27,0.19586831275720162,2022-09-17 13:46:51.338200,2022-09-17 13:59:30.442744,0 days 00:12:39.104544,kd_tree,20,108,distance,COMPLETE
28,0.10595884773662556,2022-09-17 13:47:34.669716,2022-09-17 13:49:05.808393,0 days 00:01:31.138677,kd_tree,27,2,distance,COMPLETE
29,0.12449382716049384,2022-09-17 13:47:52.793983,2022-09-17 13:51:30.758133,0 days 00:03:37.964150,kd_tree,23,8,distance,COMPLETE
30,0.12263374485596712,2022-09-17 13:48:54.789054,2022-09-17 13:52:40.625239,0 days 00:03:45.836185,kd_tree,127,7,distance,COMPLETE
31,0.12449382716049384,2022-09-17 13:49:05.878730,2022-09-17 13:53:11.113143,0 days 00:04:05.234413,kd_tree,114,8,distance,COMPLETE
32,0.19302057613168733,2022-09-17 13:49:48.112946,2022-09-17 14:03:00.135706,0 days 00:13:12.022760,kd_tree,103,99,distance,COMPLETE
33,0.19359670781893001,2022-09-17 13:50:26.939618,2022-09-17 14:03:32.720568,0 days 00:13:05.780950,kd_tree,113,100,distance,COMPLETE
