number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
0,0.6492345679012346,2022-09-17 22:29:58.063337,2022-09-17 22:30:54.037298,0 days 00:00:55.973961,103632.95215613676,cholesky,COMPLETE
1,0.6298765432098765,2022-09-17 22:29:58.066723,2022-09-17 22:30:55.207848,0 days 00:00:57.141125,70941.90852821857,auto,COMPLETE
2,0.8062716049382717,2022-09-17 22:29:58.068788,2022-09-17 22:34:30.870321,0 days 00:04:32.801533,638417342.0684106,lsqr,COMPLETE
3,0.5774485596707819,2022-09-17 22:29:58.070636,2022-09-17 22:41:16.529902,0 days 00:11:18.459266,2202.0233081972515,sparse_cg,COMPLETE
4,0.604164609053498,2022-09-17 22:29:58.080796,2022-09-17 22:37:17.089798,0 days 00:07:19.009002,34.26305326360739,lsqr,COMPLETE
5,0.8062716049382717,2022-09-17 22:29:58.083101,2022-09-17 22:35:43.234508,0 days 00:05:45.151407,230769156.70902154,lsqr,COMPLETE
6,0.60240329218107,2022-09-17 22:29:58.085939,2022-09-17 22:41:09.891818,0 days 00:11:11.805879,113.09330054772366,sparse_cg,COMPLETE
7,0.6035555555555556,2022-09-17 22:29:58.088169,2022-09-18 00:09:42.626385,0 days 01:39:44.538216,50.10601837388874,sag,COMPLETE
8,0.7859259259259259,2022-09-17 22:30:54.253234,2022-09-17 22:31:48.107024,0 days 00:00:53.853790,635112.7356597857,auto,COMPLETE
9,0.6044938271604938,2022-09-17 22:30:55.304720,2022-09-18 01:26:31.211862,0 days 02:55:35.907142,1.1950666351597026,sag,COMPLETE
10,0.6043621399176955,2022-09-17 22:31:48.189267,2022-09-17 22:32:41.869990,0 days 00:00:53.680723,9.135953801124026,auto,COMPLETE
11,0.8062057613168725,2022-09-17 22:32:42.004890,2022-09-17 23:47:55.387335,0 days 01:15:13.382445,108921184.81508343,sag,COMPLETE
12,0.8062716049382717,2022-09-17 22:34:30.963286,2022-09-17 22:35:21.812202,0 days 00:00:50.848916,1047403754.8291929,cholesky,COMPLETE
13,0.592477366255144,2022-09-17 22:35:22.024382,2022-09-18 01:08:59.013582,0 days 02:33:36.989200,785.567855388357,saga,COMPLETE
14,0.5666995884773662,2022-09-17 22:35:43.322442,2022-09-17 22:45:04.158032,0 days 00:09:20.835590,13365.330567858262,sparse_cg,COMPLETE
15,0.5984526748971193,2022-09-17 22:37:17.256552,2022-09-17 22:46:44.742443,0 days 00:09:27.485891,357.31133120463215,sparse_cg,COMPLETE
16,0.5684938271604938,2022-09-17 22:41:09.992343,2022-09-18 00:59:03.810519,0 days 02:17:53.818176,3775.9630432626473,saga,COMPLETE
17,0.5798847736625514,2022-09-17 22:41:16.646668,2022-09-17 22:49:39.019886,0 days 00:08:22.373218,1907.4374814268542,sparse_cg,COMPLETE
18,0.5733827160493827,2022-09-17 22:45:04.308157,2022-09-17 22:52:07.242693,0 days 00:07:02.934536,2711.7691617679175,sparse_cg,COMPLETE
19,0.5638518518518518,2022-09-17 22:46:44.887391,2022-09-17 23:54:52.082691,0 days 01:08:07.195300,5715.099764846359,sag,COMPLETE
20,0.805843621399177,2022-09-17 22:49:39.127543,2022-09-17 22:50:42.811999,0 days 00:01:03.684456,4099038.009537783,svd,COMPLETE
