Index,Algorithm,Leaf,Neighbours,Weights,Loss
0,0,2,146,1,0.4446913580246914
1,1,11,12,1,0.1953251028806583
2,1,53,9,1,0.1822057613168723
3,1,9,711,1,0.6843786008230452
4,2,569,25,0,0.1506172839506172
5,2,193,18,1,0.218798353909465
6,0,43,933,0,0.2495802469135802
7,0,321,16,0,0.13919341563786
8,0,3,2,1,0.1376131687242797
9,1,4,48,1,0.3039506172839505
10,0,17,41,1,0.2878024691358024
11,0,124,4,1,0.1537119341563786
12,2,12,41,0,0.1647407407407407
13,2,225,880,1,0.7165432098765432
14,1,281,640,1,0.6677530864197531
15,2,93,4,0,0.1130534979423868
16,1,935,2,1,0.1376296296296296
17,2,63,2,0,0.1059259259259259
18,2,62,2,0,0.1059259259259259
19,0,57,2,0,0.1059259259259259
20,2,92,2,0,0.1059259259259259
21,2,47,2,0,0.1059259259259259
22,2,60,5,0,0.1168888888888889
23,2,56,7,0,0.1226337448559671
24,2,40,5,0,0.1168888888888889
25,2,21,4,0,0.113037037037037
26,2,23,6,0,0.1190946502057612
27,2,20,108,0,0.1958683127572016
28,2,27,2,0,0.1059588477366255
29,2,23,8,0,0.1244938271604938
30,2,127,7,0,0.1226337448559671
31,2,114,8,0,0.1244938271604938
32,2,103,99,0,0.1930205761316873
33,2,113,100,0,0.19359670781893
34,2,150,115,0,0.1979094650205761
35,2,94,92,0,0.1913251028806584
36,2,37,148,0,0.2062880658436213
37,2,84,115,0,0.1979094650205761
38,0,76,3,0,0.1108641975308641
39,0,82,3,0,0.1108641975308641
40,0,91,3,0,0.1109465020576131
41,0,77,3,0,0.1108641975308641
42,0,74,3,0,0.1108641975308641
43,0,63,3,0,0.1108641975308641
44,0,40,3,0,0.1109300411522634
45,0,388,3,0,0.1108971193415637
46,0,454,3,0,0.1108971193415637
47,0,7,13,0,0.1353086419753086
48,1,39,2,0,0.1060082304526749
49,1,41,2,0,0.1060082304526749
50,1,33,2,0,0.1060082304526749
51,1,39,12,0,0.1331522633744856
52,2,32,13,0,0.1353086419753086
53,2,169,2,0,0.1059259259259259
54,2,183,12,0,0.1331028806584362
55,2,166,16,1,0.2116543209876543
56,2,184,18,1,0.218798353909465
57,2,458,11,1,0.1908641975308641
58,2,199,4,1,0.1537119341563786
59,2,152,24,1,0.2396543209876543
60,2,219,26,1,0.245514403292181
61,2,175,21,1,0.2293168724279836
62,2,208,4,1,0.1537119341563786
63,2,240,5,1,0.1590123456790123
64,2,14,25,0,0.1506008230452674
65,2,56,4,0,0.1130534979423868
66,2,53,29,0,0.1544526748971193
67,2,53,5,0,0.1168888888888889
68,2,50,2,0,0.1059259259259259
69,2,29,2,0,0.1059588477366255
70,2,53,2,0,0.1059259259259259
71,2,28,2,0,0.1059588477366255
72,2,138,2,0,0.1059259259259259
73,2,51,238,0,0.2200658436213991
74,2,12,372,0,0.2323621399176955
75,2,49,6,0,0.119111111111111
76,2,129,29,0,0.1544362139917695
77,2,15,6,0,0.119111111111111
78,2,47,2,0,0.1059259259259259
79,2,15,354,0,0.2309465020576131
80,2,65,2,0,0.1059259259259259
81,2,68,4,0,0.1130534979423868
82,2,70,61,0,0.1784855967078189
83,2,70,407,0,0.2343209876543208
84,2,66,4,0,0.1130534979423868
85,2,65,283,0,0.2252345679012345
86,2,110,159,0,0.2082962962962963
87,2,103,397,0,0.2337119341563786
88,2,44,463,0,0.2375637860082304
89,2,44,2,0,0.1059588477366255
90,2,104,2,0,0.1059259259259259
91,2,24,2,0,0.1059588477366255
92,2,102,3,0,0.1109465020576131
93,2,107,3,0,0.1109465020576131
94,0,133,3,0,0.1109465020576131
95,0,280,3,0,0.1109300411522634
96,0,2,2,0,0.1059588477366255
97,0,2,5,0,0.1169053497942387
98,0,2,2,0,0.1059588477366255
99,0,84,2,0,0.1059259259259259
100,0,34,2,0,0.1059588477366255
101,1,83,3,0,0.1109300411522634
102,1,136,3,0,0.1109300411522634
103,1,139,3,0,0.1109300411522634
104,2,34,3,0,0.1109300411522634
105,2,35,2,0,0.1059588477366255
106,2,36,2,0,0.1059588477366255
107,2,35,2,0,0.1059588477366255
108,2,284,2,0,0.1059259259259259
109,2,297,2,0,0.1059259259259259
110,2,85,2,0,0.1059259259259259
111,2,264,2,0,0.1059259259259259
112,2,91,56,0,0.1759176954732509
113,2,59,4,0,0.1130534979423868
114,0,86,2,0,0.1059259259259259
115,2,59,69,0,0.1817283950617284
116,2,269,4,0,0.1130534979423868
117,0,519,4,0,0.1130534979423868
118,0,731,55,0,0.1750946502057613
119,2,92,58,0,0.1769711934156378
120,0,49,74,0,0.1841316872427983
121,2,342,2,0,0.1059259259259259
122,0,60,3,0,0.1108641975308641
123,2,353,3,0,0.1109300411522634
124,0,362,694,0,0.2450864197530864
125,0,433,5,0,0.1168888888888889
126,0,121,2,0,0.1059259259259259
127,0,83,787,0,0.2472098765432099
128,0,49,2,0,0.1059259259259259
129,0,638,2,0,0.1059259259259259
130,2,158,2,0,0.1059259259259259
131,2,232,2,0,0.1059259259259259
132,2,154,5,0,0.1168888888888889
133,2,238,2,0,0.1059259259259259
134,0,245,2,0,0.1059259259259259
135,2,79,2,0,0.1059259259259259
136,2,256,2,0,0.1059259259259259
137,2,312,3,0,0.1109300411522634
138,2,75,3,0,0.1108641975308641
139,2,42,10,0,0.1297613168724279
140,2,326,3,0,0.1109300411522634
141,2,360,731,0,0.2462057613168724
142,0,85,2,0,0.1059259259259259
143,2,202,9,0,0.1277366255144034
144,2,45,2,0,0.1059259259259259
145,2,55,36,0,0.1606090534979424
146,2,47,912,0,0.2491522633744856
147,2,47,3,0,0.1108641975308641
148,0,805,2,0,0.1059259259259259
149,2,55,677,0,0.24479012345679
150,2,66,2,0,0.1059259259259259
151,2,69,2,0,0.1059259259259259
152,2,67,2,0,0.1059259259259259
153,0,654,2,0,0.1059259259259259
154,2,117,2,0,0.1059259259259259
155,2,234,2,0,0.1059259259259259
156,2,294,2,0,0.1059259259259259
157,2,115,182,0,0.2120987654320987
158,0,735,2,0,0.1059259259259259
159,2,664,2,0,0.1059259259259259
160,0,868,2,0,0.1059259259259259
161,0,639,2,0,0.1059259259259259
162,2,641,2,1,0.13759670781893
