Dataset,Top-K,Classifier,Metric,Score,Max-F1-COSTER,Max-F1-RESICO
COSTER-SO,Top-1,COSTER,Precision,15,15,86
COSTER-SO,Top-1,COSTER,Recall,16,15,86
COSTER-SO,Top-1,COSTER,F1-Score,15,15,86
COSTER-SO,Top-1,RESICO-KNN,Precision,85,15,86
COSTER-SO,Top-1,RESICO-KNN,Recall,87,15,86
COSTER-SO,Top-1,RESICO-KNN,F1-Score,86,15,86
COSTER-SO,Top-1,RESICO-RF,Precision,76,15,86
COSTER-SO,Top-1,RESICO-RF,Recall,78,15,86
COSTER-SO,Top-1,RESICO-RF,F1-Score,77,15,86
COSTER-SO,Top-1,RESICO-SVC,Precision,75,15,86
COSTER-SO,Top-1,RESICO-SVC,Recall,80,15,86
COSTER-SO,Top-1,RESICO-SVC,F1-Score,78,15,86
COSTER-SO,Top-1,RESICO-RL,Precision,70,15,86
COSTER-SO,Top-1,RESICO-RL,Recall,77,15,86
COSTER-SO,Top-1,RESICO-RL,F1-Score,73,15,86
COSTER-SO,Top-3,COSTER,Precision,21,22,87
COSTER-SO,Top-3,COSTER,Recall,23,22,87
COSTER-SO,Top-3,COSTER,F1-Score,22,22,87
COSTER-SO,Top-3,RESICO-KNN,Precision,86,22,87
COSTER-SO,Top-3,RESICO-KNN,Recall,88,22,87
COSTER-SO,Top-3,RESICO-KNN,F1-Score,87,22,87
COSTER-SO,Top-3,RESICO-RF,Precision,83,22,87
COSTER-SO,Top-3,RESICO-RF,Recall,84,22,87
COSTER-SO,Top-3,RESICO-RF,F1-Score,83,22,87
COSTER-SO,Top-3,RESICO-SVC,Precision,83,22,87
COSTER-SO,Top-3,RESICO-SVC,Recall,84,22,87
COSTER-SO,Top-3,RESICO-SVC,F1-Score,84,22,87
COSTER-SO,Top-3,RESICO-RL,Precision,77,22,87
COSTER-SO,Top-3,RESICO-RL,Recall,85,22,87
COSTER-SO,Top-3,RESICO-RL,F1-Score,81,22,87
COSTER-SO,Top-5,COSTER,Precision,25,26,87
COSTER-SO,Top-5,COSTER,Recall,26,26,87
COSTER-SO,Top-5,COSTER,F1-Score,26,26,87
COSTER-SO,Top-5,RESICO-KNN,Precision,86,26,87
COSTER-SO,Top-5,RESICO-KNN,Recall,88,26,87
COSTER-SO,Top-5,RESICO-KNN,F1-Score,87,26,87
COSTER-SO,Top-5,RESICO-RF,Precision,86,26,87
COSTER-SO,Top-5,RESICO-RF,Recall,86,26,87
COSTER-SO,Top-5,RESICO-RF,F1-Score,86,26,87
COSTER-SO,Top-5,RESICO-SVC,Precision,84,26,87
COSTER-SO,Top-5,RESICO-SVC,Recall,85,26,87
COSTER-SO,Top-5,RESICO-SVC,F1-Score,85,26,87
COSTER-SO,Top-5,RESICO-RL,Precision,79,26,87
COSTER-SO,Top-5,RESICO-RL,Recall,84,26,87
COSTER-SO,Top-5,RESICO-RL,F1-Score,81,26,87
StatType-SO,Top-1,COSTER,Precision,26,28,76
StatType-SO,Top-1,COSTER,Recall,31,28,76
StatType-SO,Top-1,COSTER,F1-Score,28,28,76
StatType-SO,Top-1,RESICO-KNN,Precision,75,28,76
StatType-SO,Top-1,RESICO-KNN,Recall,78,28,76
StatType-SO,Top-1,RESICO-KNN,F1-Score,76,28,76
StatType-SO,Top-1,RESICO-RF,Precision,60,28,76
StatType-SO,Top-1,RESICO-RF,Recall,63,28,76
StatType-SO,Top-1,RESICO-RF,F1-Score,62,28,76
StatType-SO,Top-1,RESICO-SVC,Precision,51,28,76
StatType-SO,Top-1,RESICO-SVC,Recall,61,28,76
StatType-SO,Top-1,RESICO-SVC,F1-Score,56,28,76
StatType-SO,Top-1,RESICO-RL,Precision,34,28,76
StatType-SO,Top-1,RESICO-RL,Recall,54,28,76
StatType-SO,Top-1,RESICO-RL,F1-Score,42,28,76
StatType-SO,Top-3,COSTER,Precision,36,38,79
StatType-SO,Top-3,COSTER,Recall,40,38,79
StatType-SO,Top-3,COSTER,F1-Score,38,38,79
StatType-SO,Top-3,RESICO-KNN,Precision,78,38,79
StatType-SO,Top-3,RESICO-KNN,Recall,80,38,79
StatType-SO,Top-3,RESICO-KNN,F1-Score,79,38,79
StatType-SO,Top-3,RESICO-RF,Precision,73,38,79
StatType-SO,Top-3,RESICO-RF,Recall,75,38,79
StatType-SO,Top-3,RESICO-RF,F1-Score,74,38,79
StatType-SO,Top-3,RESICO-SVC,Precision,64,38,79
StatType-SO,Top-3,RESICO-SVC,Recall,72,38,79
StatType-SO,Top-3,RESICO-SVC,F1-Score,69,38,79
StatType-SO,Top-3,RESICO-RL,Precision,49,38,79
StatType-SO,Top-3,RESICO-RL,Recall,70,38,79
StatType-SO,Top-3,RESICO-RL,F1-Score,58,38,79
StatType-SO,Top-5,COSTER,Precision,41,42,79
StatType-SO,Top-5,COSTER,Recall,44,42,79
StatType-SO,Top-5,COSTER,F1-Score,42,42,79
StatType-SO,Top-5,RESICO-KNN,Precision,78,42,79
StatType-SO,Top-5,RESICO-KNN,Recall,80,42,79
StatType-SO,Top-5,RESICO-KNN,F1-Score,79,42,79
StatType-SO,Top-5,RESICO-RF,Precision,75,42,79
StatType-SO,Top-5,RESICO-RF,Recall,77,42,79
StatType-SO,Top-5,RESICO-RF,F1-Score,76,42,79
